hid,name,longitude,latitude,distance_km,checkin_date,最早预定日期,最晚预定日期,search_quantity,try_quantity,order_quantity
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/22,20260525,20260622,1060,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/1,20260119,20260502,9853,5,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/22,20260119,20260423,8712,1,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/21,20260525,20260621,1228,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/6,20260119,20260208,212,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/30,20260525,20260530,813,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/25,20260525,20260525,152,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/26,20260119,20260426,8248,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/7,20260525,20260607,1088,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/22,20260119,20260622,9605,4,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/2,20260525,20260602,629,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/11,20260525,20260611,1585,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/31,20260525,20260531,681,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/16,20260525,20260616,724,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/5,20260525,20260606,1498,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/13,20260119,20260513,8279,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/13,20260119,20260208,242,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/23,20260119,20260208,1700,2,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/19,20260119,20260620,9584,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/18,20260525,20260618,1147,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/17,20260119,20260518,7824,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/15,20260525,20260615,698,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/29,20260119,20260430,8115,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/12,20260525,20260613,1041,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/15,20260119,20260616,8392,1,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/19,20260525,20260619,2901,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/22,20260525,20260622,2136,1,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/21,20260119,20260208,1055,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/20,20260119,20260208,381,1,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/27,20260525,20260527,514,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/29,20260119,20260208,934,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/31,20260119,20260601,8694,1,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/21,20260119,20260422,8417,4,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/30,20260119,20260208,1362,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/13,20260119,20260614,7416,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/4,20260525,20260604,1225,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/18,20260119,20260208,167,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/21,20260525,20260622,2125,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/6/15,20260525,20260615,1601,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/11,20260119,20260208,193,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/8,20260119,20260608,8367,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/10,20260119,20260208,345,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/24,20260120,20260525,7562,19,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/17,20260119,20260208,298,1,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/4/25,20260119,20260208,1113,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/25,20260119,20260426,8078,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/7,20260119,20260607,8264,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/16,20260119,20260516,7940,1,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/28,20260525,20260528,655,\N,\N
401917,山水时尚酒店(广州火车东站店),113.324344,23.149276,8.789484048269957,2026/5/26,20260525,20260526,352,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/4/30,20260119,20260430,9347,8,1
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/14,20260119,20260514,8287,4,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/8,20260525,20260608,696,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/3,20260525,20260603,634,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/1,20260525,20260601,617,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/13,20260525,20260613,972,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/19,20260525,20260620,1437,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/6,20260525,20260606,779,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/17,20260525,20260617,761,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/11,20260525,20260611,777,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/4,20260525,20260604,724,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/9,20260525,20260609,729,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/10,20260525,20260610,796,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/14,20260525,20260614,1193,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/20,20260525,20260620,1092,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/6/5,20260525,20260605,789,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/30,20260525,20260530,544,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/27,20260525,20260527,357,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/29,20260525,20260530,560,\N,\N
652265,山水时尚酒店(广州黄埔东路大沙东地铁站店）,113.462418,23.101069,6.666759226203917,2026/5/28,20260525,20260528,407,\N,\N
